Pop name	Gnetic population name	Language name	Region	Ruhlen Language family	Ruhlen number
EastHigh-Gimi-Goroka	EastHigh-Gimi-Goroka	Gimi	PACIFIC	Indo-Pacific	3706
Baining-Marabu	Baining-Marabu	Baining	PACIFIC	Indo-Pacific	4345
Baining-Rangulit	Baining-Rangulit	Baining	PACIFIC	Indo-Pacific	4345
Baining-Malasait	Baining-Malasait	Baining	PACIFIC	Indo-Pacific	4345
Nasioi	Nasioi	Nasioi	PACIFIC	Indo-Pacific	4348
Aita	Aita	Rotokas	PACIFIC	Indo-Pacific	4354
Chipewyan	Chipewyan	Chipewyan	AMERICASNORTHCENTRAL	Dene-Caucasian	4670
Ojibwa	Ojibwa	Ojibwa	AMERICASNORTHCENTRAL	Amerind	4696
Mixe	Mixe	Mixe	AMERICASNORTHCENTRAL	Amerind	4857
Maya	Maya	Yucatec	AMERICASNORTHCENTRAL	Amerind	4870
Kaqchikel	Kaqchikel	Cakchiquel	AMERICASNORTHCENTRAL	Amerind	4897
Pima	Pima	PimaBajo	AMERICASNORTHCENTRAL	Amerind	4971
Cabecar	Cabecar	Cabecar	AMERICASNORTHCENTRAL	Amerind	5073
Guaymi	Guaymi	Guaymi	AMERICASNORTHCENTRAL	Amerind	5078
Arhuaco	Arhuaco	Ica	AMERICASOUTH	Amerind	5086
Embera	Embera	Embera	AMERICASOUTH	Amerind	5111
Waunana	Waunana	Waunana	AMERICASOUTH	Amerind	5118
Inga	Inga	QuechuaA	AMERICASOUTH	Amerind	5147
Quechua	Quechua	QuechuaA	AMERICASOUTH	Amerind	5150
Aymara	Aymara	Aymara	AMERICASOUTH	Amerind	5156
TicunaTarapaca	TicunaTarapaca	Ticuna	AMERICASOUTH	Amerind	5203
TicunaArara	TicunaArara	Ticuna	AMERICASOUTH	Amerind	5203
Guarani	Guarani	Kaiwa	AMERICASOUTH	Amerind	5305
Wayuu	Wayuu	Goajiro	AMERICASOUTH	Amerind	5422
Kaingang	Kaingang	Kaingang	AMERICASOUTH	Amerind	5633
					
