1	combining [affricates backvow centralvow clicks fricatives frontvow glides laterals modcon modvow nasals stops vibrants]
181	ǂkˣˀ	2	9	37
182	ᵑ/	2	1159	1161
183	n+	1	9	
184	n̥ʘ	1	37	
185	ᵑ!ᶢ	2	1159	1160
186	q/ˀ	1	37	
187	n/ˀʰ	1	2	
188	!ˣ	21	2	3
189	!ˣˀ	14	2	3
190	n/	33	0	1
191	nǂˣ	1	28	
192	n/ʱ	3	5	39
193	n̥ǂ	1	37	
194	Gǂ	1	37	
195	ˀn!	1	37	
196	ɡǁkˣˀ	3	2	4
197	+kˣˀ	1	9	
198	ʘkˣˀ	1	37	
199	n!ʰ	1	1162	
200	!kˣˀ	2	9	37
201	ɡǁˣ	7	2	4
202	ǂʱ	2	5	39
203	ˀnǂ	1	37	
204	ˀn/	1	37	
205	qǂʰ	1	37	
206	n/n	2	26	27
207	qʘ	1	37	
208	ɡ!kˣˀ	3	2	4
209	nǁˀʰ	1	2	
210	G/ʰ	1	37	
211	qǂ	8	23	25
212	ʘˣ	3	36	37
213	ʘʱ	1	39	
214	G!	1	37	
215	ɡǂn	7	5	25
216	ɡǂˀʰ	1	2	
217	ǁˀ	29	0	1
218	qǁ	8	23	25
219	+ˀ	1	9	
220	ɡʘˣ	1	37	
221	G/	1	37	
222	ǁ	36	0	1
223	!ˀʰ	1	2	
224	n̥!ʰ	2	2	4
225	q/ʰ	1	37	
226	ǂˀʰ	1	2	
227	ɡǂ	17	2	3
228	nǁʱ	3	5	39
229	ˀnǁ	1	37	
230	nǂn	2	26	27
231	ǁʰ	29	0	1
232	/ʱ	2	5	39
233	Gǁ	1	37	
234	/ˀʰ	1	2	
235	/ˣ	25	2	3
236	nǁʰ	1	1162	
237	ǂˣ	18	2	3
238	nʘʱ	2	39	40
239	ʘ	6	36	37
240	q!	7	25	26
241	ɡǁ	26	1	2
242	ɡ!ˀʰ	1	2	
243	n̥ǂʰ	2	2	4
244	n/ʰ	2	1161	1162
245	nǁn	2	26	27
246	ɡ!ˣ	3	2	4
247	!ˀ	26	0	1
248	ɡʘkˣˀ	1	37	
249	ᵑ/ᶢ	3	1159	1160
250	ɡʘ	4	36	37
251	q/	10	17	21
252	n̥ǁ	2	0	37
253	n̥!	2	0	37
254	!ʰ	27	0	1
255	ɡ!	21	1	2
256	q!ˀ	1	37	
257	ɡ/ˀʰ	1	2	
258	ǂˣˀ	13	2	3
259	ɡǂˣ	2	4	37
260	ʘˣˀ	1	39	
261	n!ʱ	3	5	39
262	ɡǁn	13	5	16
263	ɡ!n	8	5	21
264	+ˣ	1	9	
265	n!ˣ	1	28	
266	n̥ǁʰ	2	2	4
267	ᵑǁ	1	1159	
268	n̥/	2	0	37
269	qʘˀ	1	37	
270	ɡ/	28	1	2
271	Gǁʰ	1	37	
272	nǂ	19	2	3
273	ǁˀʰ	1	2	
274	ɡǂkˣˀ	3	2	4
275	n̥/ʰ	2	2	4
276	ǂˀ	20	2	3
277	qǁʰ	1	37	
278	ɡǁˀʰ	1	2	
279	ᵑǁᶢ	2	1159	1160
280	/ˣˀ	15	2	3
281	ǁʱ	2	5	39
282	Gǂʰ	1	37	
283	ʘʰ	4	36	37
284	ʘˀ	4	36	37
285	ð	123	63	339
286	vʷ	2	1025	2084
287	ɣʷ	11	453	936
288	z̥̣	1	2359	
289	ħ	57	1329	1330
290	v̤	2	1687	1688
291	xˀ	4	4639	4766
292	sʰ	19	5	1942
293	šːˀ	3	1613	1614
294	šʲ	3	2351	5100
295	ɣ	357	23	28
296	ɸˢ	1	1156	
297	ʕ	67	1293	1294
298	sˀ	21	1313	1426
299	ʮː	1	63	
300	ⁿs	1	4995	
301	šʷ	1	1893	
302	ˀẓ	1	5392	
303	ᵈžʰ	1	4	
304	ⁿz	12	691	832
305	sʷ	3	1148	1609
306	ˀɣ	3	2538	4723
307	βʲ	1	1840	
308	ʯˀ	2	4639	4767
309	ˀh	1	2466	
310	hᵚ	1	3428	
311	s̪	7	1060	1721
312	ʯʷ	40	1735	2015
313	š	844	0	2
314	fs	1	1394	
315	ˀv	2	2466	4719
316	ç	32	25	769
317	ˀz	1	4719	
318	sʲ	3	440	1921
319	ʕʷ	7	4749	4750
320	s̪ːˀ	3	1613	1614
321	ⁿ̃ž	4	1000	1144
322	ͫv	3	769	832
323	zˀ	3	1721	4749
324	ɸˀ	1	4759	
325	fʷ	6	1025	1026
326	ðʲ	1	5015	
327	ˀð	2	1578	1579
328	β	214	2	3
329	f	786	0	1
330	h	1333	1	3
331	ṣˀ	3	1600	4757
332	ʕˀ	7	4730	4749
333	ɸʷ	2	3436	4666
334	r	1	5237	
335	s	1891	0	1
336	ʁʷ	4	2015	4675
337	ʮ	131	121	122
338	ʁ	101	88	391
339	v	633	4	57
340	sʹ	6	1552	1557
341	xˀʷ	1	4639	
342	x	513	1	2
343	z̪	3	1060	1937
344	z	656	2	3
345	ʯˀʷ	1	4639	
346	ɦ	45	0	2
347	zʷ	1	1148	
348	šˀ	12	1513	1578
349	ṣ̌	44	1603	1639
350	ˀʁʷ	1	4719	
351	ʁˀ	1	4730	
352	z̪ʲ	1	1921	
353	ˀs̪	1	2466	
354	fʰ	2	1120	2353
355	ṣ	65	1600	1638
356	ˀʁ	1	4719	
357	ʯ	150	76	115
358	ᵈžˣ	1	4	
359	h˜	11	93	1731
360	ɸʲ	1	5122	
361	ɣ˜	2	133	134
362	fˢ̌	2	1156	1157
363	z̤	1	2259	
364	hʷ	23	385	1096
365	βʷ	3	1100	2660
366	ʮˀ	1	2617	
367	xʷ	70	133	453
368	sː	2	1945	4704
369	šʰ	3	5	2353
370	xʰ	2	2336	3404
371	žʱ	1	5	
372	vj^	1	1394	
373	β˜	1	3694	
374	ᵈzˣ	1	4	
375	zʱ	1	5	
376	j^	5	456	1394
377	vz	1	1394	
378	fç	1	1394	
379	hʲ	1	5039	
380	fˀ	4	1603	1605
381	ž	310	2	3
382	v˜	1	180	
383	çː	9	1610	1611
384	ẓ̌	15	1681	1740
385	v̥	1	2466	
386	ɸ	102	111	182
387	ẓ	20	1301	1303
388	ʕˀʷ	7	4749	4750
389	zʹ	2	1594	1877
390	vʰ	1	1108	
391	i̱	2	129	132
392	e	1550	0	1
393	i	2018	0	1
394	i̤	5	2455	2460
395	æ	167	99	165
396	e̤	2	2491	2493
397	I	309	53	55
398	ø	109	115	123
399	y	146	88	161
400	I̤	2	2486	2496
401	ɛ̤	3	2491	2493
402	ɛ	746	25	26
403	Y	11	236	1843
404	œ	35	160	180
405	e̅	1	3802	
406	ḛ	1	1988	
407	e˃	1	1225	
408	w̤	1	1238	
409	ə̯	1	2977	
410	j	1994	0	1
411	j̥	28	2131	2136
412	w˜	13	88	93
413	ˀj	62	16	17
414	ɨ̯	3	2304	4939
415	w̥	42	166	390
416	w	1812	0	1
417	ɯ̯	4	935	2418
418	jˀ	8	1497	2491
419	ɑ̯	1	2428	
420	ˀw	50	254	277
421	ɥ˜	1	88	
422	wˀ	7	2491	2998
423	j̤	2	1238	1241
424	ɥ	24	88	236
425	ȷ˜	6	88	133
426	ɬʰ	1	2353	
427	l̥ᵚ	1	1960	
428	l̪̥	1	1838	
429	ʎ̣	1	2050	
430	ɬ̣	2	1670	2043
431	l	1788	0	1
432	ɬˀ	6	1603	1604
433	ḷ̥	1	2355	
434	lᵚ	17	210	1652
435	l̤	10	1687	1688
436	ɬ	183	0	1
437	ɬː	1	1614	
438	ˀl	37	254	1534
439	ḷ̌	7	63	367
440	l̯	36	4363	4365
441	L̥	1	3714	
442	ʎ	137	124	257
443	L	8	3697	3698
444	l˜	1	391	
445	l̪	9	1154	1838
446	ɮ	21	40	1159
447	ʎᵚ	1	3435	
448	l̥	52	166	1663
449	ɬ̪	1	3714	
450	ľ	38	165	431
451	lˀ	4	2227	2297
452	ḷ̤	2	1659	1700
453	bɮ	1	1394	
454	ḷ	113	458	1030
455	ʎ̥	4	1857	4919
456	lʲ	3	1837	1921
457	c̯	3	3478	3526
458	ˀc	4	2489	2490
459	cː	375	47	53
460	cᴺ	1	4588	
461	cʲʷ	1	2363	
462	c̥	5	2389	2489
463	cʰ	3	1166	2503
464	cᶛ	31	9	1318
465	cʲː	4	1894	1904
466	cˀ	3	1534	2489
467	c̣	1	4464	
468	cʲ	135	88	99
469	ᴺc	210	47	51
470	c̣ː	1	1809	
471	ʰcᴺ	1	3407	
472	cːː	1	1926	
473	ͨN	1	4587	
474	cᵚ	4	1837	3428
475	c̤	1	2953	
476	cʲ̱	1	229	
477	cʷ	243	51	62
478	vowelharmony	159	47	51
479	vː̰	1	2446	
480	vowelharmony_TR	1	526	
481	v̱	3	129	132
482	v˜ᶛ	3	5	30
483	vː	1030	0	1
484	v̤̅	1	2489	
485	v˜̰	7	2	4
486	vʔ	1	5036	
487	vˀv	1	5036	
488	v̤	42	4	5
489	vˀ_v	1	5049	
490	nasalharmony	24	166	243
491	vː̤	1	2488	
492	̅vː	2	1615	1920
493	v̆	2	1900	2727
494	v˜	480	2	3
495	v̰ː	6	2	804
496	v̥	4	1	4757
497	v˜̤	4	4	165
498	v˜ː	113	1	36
499	̱vː	1	730	
500	v̅	3	3417	3419
501	vᶛ	5	5	29
502	v̰	32	2	4
503	v̤ː	8	1224	1241
504	vˀ	4	37	4640
505	mˡ	5	2351	2355
506	n̪̥	1	2538	
507	n̥˜	7	950	2332
508	n̥	67	166	950
509	ˀn˜	4	2402	2466
510	ŋm	41	122	160
511	ṇ̥	2	2359	3401
512	nʱ	1	5	
513	ŋ̥ʷ	1	2015	
514	ˀn̪	1	2538	
515	ŋʷ	29	0	105
516	m	2191	0	1
517	n	2199	0	1
518	ˀŋʷ	1	4959	
519	ŋˀ	2	2297	2299
520	ṇ	151	109	1657
521	m̥	59	166	950
522	mʷ	4	3306	4981
523	nˀ	8	1501	1502
524	ˀm	46	5	37
525	nm	1	4331	
526	ɱ	1	2217	
527	ˀn	45	37	277
528	mʱ	1	5	
529	N	15	1935	1937
530	mᶛ	1	5	
531	nʲ	4	18	1921
532	mˀ	9	2	1497
533	ŋᵚ	1	3428	
534	n̤	10	1685	1687
535	n̪ᵚ	1	3428	
536	mn˜	1	1394	
537	n˜	862	0	3
538	ṇ̤	1	1700	
539	ŋ^	3	4365	4400
540	ŋʲ	1	1403	
541	n̯	69	4363	4365
542	ŋ̥ʲ	1	2535	
543	m̥ˡ	3	2351	2355
544	ˀŋ	7	5	39
545	ŋ	1275	0	1
546	n˜̥	24	1843	2125
547	m̤	10	1685	1687
548	n̪	28	69	339
549	nʷ	1	4995	
550	mᵚ	1	3428	
551	ŋ̥	32	950	1712
552	kʷ	205	0	104
553	ɗ̪	1	339	
554	ɡ̤	53	476	1651
555	ᴳqʰ	1	37	
556	ʔ	951	0	1
